objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.2231,Kepler-968 b,Kepler-968,3.692983728,0.0389,0.0,2.0,4.66,3.2,745.0,103.909,4598.0,-0.7626,0.76,0.7,0.13,4.63,2.14
3.14702,TOI-1898 b,TOI-1898,45.52234,0.269,0.485,9.39553231,129.0,0.85,674.54,51.0074,6241.0,0.55121,1.2484,1.6131,-0.095,4.116,3.1
3.2433,Kepler-1820 b,Kepler-1820,31.03249931,0.1964,0.0,3.11883067,9.9,1.79,561.0,23.41,5841.0,-0.02202,1.047,0.931,0.07,4.52,0.4
3.10255,K2-209 b,K2-209,2.080615,,,0.86850263,0.586,4.92,,,4720.0,-0.58815,0.74479,0.712365,-0.06,4.46,
3.13173,HD 93963 A b,HD 93963 A,1.0376109,0.02061,0.0,1.46954368,2.8,4.81,1842.23,2898.0,5908.0,0.06781,1.0844,1.0311,0.11,4.445,1.3
3.1174,Kepler-1734 b,Kepler-1734,6.796850204,0.0714,0.0,3.08851092,9.74,1.82,985.0,222.91,6061.0,0.14406,1.05,0.97,-0.1,4.486,0.3
3.3522,Kepler-1669 d,Kepler-1669,4.72941177,0.0468,0.0,1.22,1.98,5.99,669.0,47.3,4224.0,-0.80265,0.609,0.603,-0.2,4.662,13.9
3.2097,Kepler-993 b,Kepler-993,22.08557563,0.13,0.0,2.97,9.11,1.91,352.0,3.954,3843.0,-1.22868,0.57,0.54,0.03,4.72,3.89
3.13279,HIP 8152 b,HIP 8152,10.751014,0.093,0.0,2.53625843,8.9,2.97,794.96,88.9,5618.0,-0.0804,0.9373,0.9603,0.007,4.443,6.0
3.2557,Kepler-288 b,Kepler-288,6.097326,0.065,0.0,1.67,3.43,4.05,1197.0,247.301,5918.0,0.05605,0.842,1.091,-0.24,4.353,12.3
3.54,Kepler-1722 b,Kepler-1722,9.178569794,0.0819,0.0,2.86719266,8.58,2.0,753.0,76.14,5506.0,-0.16963,0.876,0.788,-0.2,4.584,1.4
